2018/10/18,自營商,0,0,-1044759,-1044759
2018/10/19,自營商,0,0,971563,971563
2018/10/22,自營商,0,0,2678041,2678041
2018/10/23,自營商,0,0,-446408,-446408
2018/10/24,自營商,0,0,-3127572,-3127572
2018/10/25,自營商,0,0,-1003439,-1003439
2018/10/26,自營商,0,0,3126846,3126846
2018/10/29,自營商,0,0,-863239,-863239
2018/10/30,自營商,0,0,-950559,-950559
2018/10/31,自營商,0,0,1285616,1285616
2018/11/1,自營商,0,0,1967179,1967179
2018/11/2,自營商,0,0,-1141834,-1141834
2018/11/5,自營商,0,0,4050449,4050449
2018/11/6,自營商,0,0,-289952,-289952
2018/11/7,自營商,0,0,-1721118,-1721118
2018/11/8,自營商,0,0,4680005,4680005
2018/11/9,自營商,0,0,-379853,-379853
2018/11/12,自營商,0,0,-4286943,-4286943
2018/11/13,自營商,0,0,727621,727621
2018/11/14,自營商,0,0,1553987,1553987
2018/11/15,自營商,0,0,716333,716333
2018/11/16,自營商,0,0,-740206,-740206
2018/11/19,自營商,0,0,-1287755,-1287755
2018/11/20,自營商,0,0,-142921,-142921
2018/11/21,自營商,0,0,-1644875,-1644875
2018/11/22,自營商,0,0,638133,638133
2018/11/23,自營商,0,0,-3201653,-3201653
2018/11/26,自營商,0,0,1285449,1285449
2018/11/27,自營商,0,0,7620713,7620713
2018/11/28,自營商,0,0,-3633418,-3633418
2018/11/29,自營商,0,0,-2893385,-2893385
2018/11/30,自營商,0,0,3322905,3322905
2018/12/3,自營商,0,0,-3476802,-3476802
2018/12/4,自營商,0,0,4026936,4026936
2018/12/5,自營商,0,0,-4428577,-4428577
2018/12/6,自營商,0,0,236741,236741
2018/12/7,自營商,0,0,-217843,-217843
2018/12/10,自營商,0,0,-3029697,-3029697
2018/12/11,自營商,0,0,3416404,3416404
2018/12/12,自營商,0,0,1244316,1244316
2018/12/13,自營商,0,0,-55108,-55108
2018/12/14,自營商,0,0,1322444,1322444
2018/12/17,自營商,0,0,-4584994,-4584994
2018/12/18,自營商,0,0,907087,907087
2018/12/19,自營商,0,0,-1627880,-1627880
2018/12/20,自營商,0,0,-115498,-115498
2018/12/21,自營商,0,0,1972108,1972108
2018/12/22,自營商,0,0,33230,33230
2018/12/24,自營商,0,0,-303343,-303343
2018/12/25,自營商,0,0,3517019,3517019
2018/12/26,自營商,0,0,-3572319,-3572319
2018/12/27,自營商,0,0,-1126665,-1126665
2018/12/28,自營商,0,0,-905575,-905575
2019/1/2,自營商,0,0,4396034,4396034
2019/1/3,自營商,0,0,956677,956677
2019/1/4,自營商,0,0,-1602400,-1602400
2019/1/7,自營商,0,0,2030804,2030804
2019/1/8,自營商,0,0,-3667090,-3667090
2019/1/9,自營商,0,0,2873392,2873392
2019/1/10,自營商,0,0,-1958185,-1958185
2019/1/11,自營商,0,0,-3444359,-3444359
2019/1/14,自營商,0,0,3874605,3874605
2019/1/15,自營商,0,0,-4853945,-4853945
2019/1/16,自營商,0,0,359735,359735
2019/1/17,自營商,0,0,-2502821,-2502821
2019/1/18,自營商,0,0,2328130,2328130
2019/1/21,自營商,0,0,-474462,-474462
2019/1/22,自營商,0,0,2536139,2536139
2019/1/23,自營商,0,0,624598,624598
2019/1/24,自營商,0,0,2410485,2410485
2019/1/25,自營商,0,0,-5898862,-5898862
2019/1/28,自營商,0,0,734847,734847
2019/1/29,自營商,0,0,3725498,3725498
2019/1/30,自營商,0,0,-1628086,-1628086
2019/2/11,自營商,0,0,229400,229400
2019/2/12,自營商,0,0,2834725,2834725
2019/2/13,自營商,0,0,4212509,4212509
2019/2/14,自營商,0,0,-3691279,-3691279
2019/2/15,自營商,0,0,-1177222,-1177222
2019/2/18,自營商,0,0,-555989,-555989
2019/2/19,自營商,0,0,4157995,4157995
2019/2/20,自營商,0,0,-8824892,-8824892
2019/2/21,自營商,0,0,2295611,2295611
2019/2/22,自營商,0,0,3107852,3107852
2019/2/25,自營商,0,0,-1200748,-1200748
2019/2/26,自營商,0,0,1742049,1742049
2019/2/27,自營商,0,0,-2018548,-2018548
2019/3/4,自營商,0,0,4490046,4490046
2019/3/5,自營商,0,0,-1467099,-1467099
2019/3/6,自營商,0,0,-2702580,-2702580
2019/3/7,自營商,0,0,-2064407,-2064407
2019/3/8,自營商,0,0,-1094237,-1094237
2019/3/11,自營商,0,0,1617401,1617401
2019/3/12,自營商,0,0,718588,718588
2019/3/13,自營商,0,0,4990216,4990216
2019/3/14,自營商,0,0,1743766,1743766
2019/3/15,自營商,0,0,-2967497,-2967497
2019/3/18,自營商,0,0,7323453,7323453
2019/3/19,自營商,0,0,-704424,-704424
2019/3/20,自營商,0,0,-6422456,-6422456
2019/3/21,自營商,0,0,-618743,-618743
2019/3/22,自營商,0,0,3834099,3834099
2019/3/25,自營商,0,0,-7311682,-7311682
2019/3/26,自營商,0,0,459055,459055
2019/3/27,自營商,0,0,2273629,2273629
2019/3/28,自營商,0,0,-1002162,-1002162
2019/3/29,自營商,0,0,6368789,6368789
2019/4/1,自營商,0,0,-3324336,-3324336
2019/4/2,自營商,0,0,-959223,-959223
2019/4/3,自營商,0,0,1007049,1007049
2019/4/8,自營商,0,0,-5114949,-5114949
2019/4/9,自營商,0,0,1645173,1645173
2019/4/10,自營商,0,0,684422,684422
2019/4/11,自營商,0,0,2210306,2210306
2019/4/12,自營商,0,0,-2657936,-2657936
2019/4/15,自營商,0,0,2450431,2450431
2019/4/16,自營商,0,0,5284222,5284222
2019/4/17,自營商,0,0,-9345506,-9345506
2019/4/18,自營商,0,0,70850,70850
2019/4/19,自營商,0,0,-2398382,-2398382
2019/4/22,自營商,0,0,2469493,2469493
2019/4/23,自營商,0,0,-493158,-493158
2019/4/24,自營商,0,0,5528585,5528585
2019/4/25,自營商,0,0,-5382198,-5382198
2019/4/26,自營商,0,0,278463,278463
2019/4/29,自營商,0,0,-802687,-802687
2019/4/30,自營商,0,0,6560555,6560555
2019/5/2,自營商,0,0,-2248622,-2248622
2019/5/3,自營商,0,0,4012995,4012995
2019/5/6,自營商,0,0,-64702,-64702
